sigungu_full,victim_house_cnt,year,period_note,sido_short,sigungu
대구시 달성군,3,2024,2024년,대구시,달성군
대구시 동구,5,2024,2024년,대구시,동구
대구시 북구,1,2024,2024년,대구시,북구
대구시 서구,3,2024,2024년,대구시,서구
대구시 수성구,2,2024,2024년,대구시,수성구
대구시 중구,4,2024,2024년,대구시,중구
대전시 대덕구,1,2024,2024년,대전시,대덕구
대전시 동구,3,2024,2024년,대전시,동구
대전시 서구,5,2024,2024년,대전시,서구
대전시 유성구,10,2024,2024년,대전시,유성구
대전시 중구,4,2024,2024년,대전시,중구
부산시 금정구,12,2024,2024년,부산시,금정구
부산시 남구,7,2024,2024년,부산시,남구
부산시 동구,2,2024,2024년,부산시,동구
부산시 동래구,4,2024,2024년,부산시,동래구
부산시 부산진구,11,2024,2024년,부산시,부산진구
부산시 북구,4,2024,2024년,부산시,북구
부산시 사상구,6,2024,2024년,부산시,사상구
부산시 사하구,2,2024,2024년,부산시,사하구
부산시 수영구,11,2024,2024년,부산시,수영구
부산시 연제구,16,2024,2024년,부산시,연제구
부산시 영도구,7,2024,2024년,부산시,영도구
부산시 중구,4,2024,2024년,부산시,중구
부산시 해운대구,5,2024,2024년,부산시,해운대구
부천시 소사구,22,2024,2024년,부천시,소사구
부천시 오정구,14,2024,2024년,부천시,오정구
부천시 원미구,36,2024,2024년,부천시,원미구
서울시 강남구,13,2024,2024년,서울시,강남구
서울시 강동구,17,2024,2024년,서울시,강동구
서울시 강북구,22,2024,2024년,서울시,강북구
서울시 강서구,165,2024,2024년,서울시,강서구
서울시 관악구,53,2024,2024년,서울시,관악구
서울시 광진구,5,2024,2024년,서울시,광진구
서울시 구로구,64,2024,2024년,서울시,구로구
서울시 금천구,80,2024,2024년,서울시,금천구
서울시 노원구,8,2024,2024년,서울시,노원구
서울시 도봉구,15,2024,2024년,서울시,도봉구
서울시 동대문구,18,2024,2024년,서울시,동대문구
서울시 동작구,30,2024,2024년,서울시,동작구
서울시 마포구,22,2024,2024년,서울시,마포구
서울시 서대문구,11,2024,2024년,서울시,서대문구
서울시 서초구,2,2024,2024년,서울시,서초구
서울시 성동구,2,2024,2024년,서울시,성동구
서울시 성북구,25,2024,2024년,서울시,성북구
서울시 송파구,20,2024,2024년,서울시,송파구
서울시 양천구,37,2024,2024년,서울시,양천구
서울시 영등포구,24,2024,2024년,서울시,영등포구
서울시 은평구,33,2024,2024년,서울시,은평구
서울시 종로구,1,2024,2024년,서울시,종로구
서울시 중구,29,2024,2024년,서울시,중구
서울시 중랑구,38,2024,2024년,서울시,중랑구
성남시 분당구,3,2024,2024년,성남시,분당구
성남시 수정구,3,2024,2024년,성남시,수정구
성남시 중원구,7,2024,2024년,성남시,중원구
세종시,42,2024,2024년,세종시,
수원시 권선구,39,2024,2024년,수원시,권선구
수원시 영통구,7,2024,2024년,수원시,영통구
수원시 장안구,7,2024,2024년,수원시,장안구
수원시 팔달구,14,2024,2024년,수원시,팔달구
안산시 단원구,15,2024,2024년,안산시,단원구
안산시 상록구,11,2024,2024년,안산시,상록구
안양시 동안구,6,2024,2024년,안양시,동안구
안양시 만안구,21,2024,2024년,안양시,만안구
용인시 기흥구,13,2024,2024년,용인시,기흥구
용인시 수지구,17,2024,2024년,용인시,수지구
용인시 처인구,6,2024,2024년,용인시,처인구
울산시 남구,9,2024,2024년,울산시,남구
울산시 동구,1,2024,2024년,울산시,동구
울산시 북구,1,2024,2024년,울산시,북구
울산시 울주군,1,2024,2024년,울산시,울주군
울산시 중구,4,2024,2024년,울산시,중구
인천시 계양구,24,2024,2024년,인천시,계양구
인천시 남동구,28,2024,2024년,인천시,남동구
인천시 동구,1,2024,2024년,인천시,동구
인천시 미추홀구,110,2024,2024년,인천시,미추홀구
인천시 부평구,46,2024,2024년,인천시,부평구
인천시 서구,35,2024,2024년,인천시,서구
인천시 연수구,4,2024,2024년,인천시,연수구
인천시 중구,6,2024,2024년,인천시,중구
전남 곡성군,2,2024,2024년,전남,곡성군
전남 광양시,9,2024,2024년,전남,광양시
전남 나주시,19,2024,2024년,전남,나주시
전남 남원시,1,2024,2024년,전남,남원시
전남 목포시,1,2024,2024년,전남,목포시
전남 무안군,1,2024,2024년,전남,무안군
전남 순천시,10,2024,2024년,전남,순천시
전남 여수시,2,2024,2024년,전남,여수시
전남 영광군,1,2024,2024년,전남,영광군
전남 익산시,1,2024,2024년,전남,익산시
전주시 덕진구,3,2024,2024년,전주시,덕진구
전주시 완산구,3,2024,2024년,전주시,완산구
제주 서귀포시,3,2024,2024년,제주,서귀포시
제주 제주시,8,2024,2024년,제주,제주시
창원시 마산합포구,1,2024,2024년,창원시,마산합포구
창원시 성산구,2,2024,2024년,창원시,성산구
창원시 의창구,1,2024,2024년,창원시,의창구
